property_id,property_name,location,property_type,number_of_bedrooms,bedroom_size,amenities,seasonality,base_price,estimated_monthly_bookings,bathrooms,bed_type,cancellation_policy,cleaning_fee,host_response_rate,number_of_reviews,review_scores_rating,beds,neighborhood
9879,Always Focus,Traciton,Cottage,4,11.882939017472015,"['WiFi', 'Garden view', 'Swimming Pool', 'Kitchen']",Summer,3034.390526891325,39,7,Queen,Flexible,40.69105474017386,73,276,3,6,Mountain View
78214,Involve Brother,Brianhaven,Apartment,5,16.527978148627945,['Air Conditioning'],Summer,2727.4183939640066,15,6,Single,Strict,48.13305749859251,75,224,5,7,Downtown
9011,Never Relate,Lake Heather,House,4,28.058124995118703,"['Waterfront', 'Kitchen', 'Gym', 'Swimming Pool', 'Garden view', 'WiFi', 'Canal view', 'Parking']",Winter,3768.210868005228,46,5,Single,Strict,10.391441769613898,93,324,1,7,Mountain View
75366,Tax Peace,New Vanessaport,Apartment,1,25.652827128710413,"['TV', 'Kitchen', 'Garden view', 'WiFi', 'Waterfront', 'Gym', 'Swimming Pool']",Winter,3456.890701432045,64,1,Queen,Strict,28.723345014181017,88,367,5,4,Waterfront
42083,Use Buy,Jenningston,Villa,3,27.374107649459816,"['Parking', 'Air Conditioning', 'Garden view', 'Waterfront', 'WiFi', 'Canal view', 'Swimming Pool', 'Gym']",Winter,109.85893677382032,100,3,Queen,Strict,20.537888801731064,75,277,2,6,Waterfront
25850,Soon Push,South Jillian,Cottage,5,29.25034870897966,"['Gym', 'Canal view', 'Garden view', 'Waterfront', 'Kitchen', 'Swimming Pool', 'TV', 'Air Conditioning']",Autumn,4352.634788621014,10,8,Single,Moderate,48.369081306483295,58,35,1,7,Waterfront
94651,Employee Year,Morrisfurt,Cottage,1,13.130495940964558,"['Swimming Pool', 'Air Conditioning', 'Kitchen', 'TV', 'WiFi']",Winter,2064.942294044178,77,3,Single,Moderate,31.332218346130524,51,316,5,5,Mountain View
39998,Toward Risk,East Selena,Cottage,1,22.41059702743125,"['Parking', 'Canal view', 'TV', 'Swimming Pool', 'Garden view', 'Gym', 'Waterfront']",Winter,4985.640040917332,44,5,Single,Moderate,20.74969358047111,97,62,3,3,Mountain View
99164,Player Image,Davidfurt,House,2,10.805932702151072,"['Garden view', 'Waterfront', 'Canal view', 'Air Conditioning']",Winter,3866.20029023807,15,4,King,Flexible,31.291498688071634,52,36,4,6,Waterfront
59870,Street Red,South Colinville,House,3,12.899313290323487,"['Gym', 'Swimming Pool', 'Air Conditioning', 'TV', 'WiFi', 'Kitchen']",Summer,1395.1783283698314,62,7,Double,Flexible,41.81229199427742,89,312,2,7,Mountain View
78871,Seat Thus,Lake Julieview,Cottage,2,13.197452170369353,"['Canal view', 'Gym', 'Air Conditioning', 'Kitchen', 'Garden view', 'WiFi', 'Swimming Pool', 'Waterfront']",Winter,3381.685913633141,16,5,Queen,Strict,24.736914822528643,90,377,3,4,Mountain View
16173,By Hold,Rasmussenland,House,1,20.413749681644664,"['Garden view', 'Waterfront']",Summer,735.9044415570991,47,5,Queen,Moderate,11.056321969467513,60,109,4,4,Suburb
82492,Kitchen Month,Riverafurt,Cottage,2,19.734013007519362,"['Gym', 'Parking', 'WiFi', 'Waterfront', 'Garden view', 'TV']",Winter,1472.6790626593295,35,3,Queen,Moderate,40.261788198590395,79,185,2,5,Mountain View
82300,Adult Marriage,South Diane,Cottage,1,16.162787216402826,['Kitchen'],Autumn,2818.570419545141,39,2,Single,Strict,38.180341474271486,94,273,3,3,Downtown
8105,Factor Rest,Roberttown,Apartment,2,10.838311957392046,"['TV', 'WiFi', 'Waterfront']",Winter,3633.9794031053825,66,6,King,Strict,30.559742173892445,57,274,4,4,Suburb
23476,Culture Pick,Waltontown,Villa,5,11.11897519245973,"['Gym', 'Kitchen', 'Canal view', 'TV', 'Air Conditioning', 'Garden view', 'Parking', 'Waterfront', 'Swimming Pool']",Summer,3713.7629712742832,98,9,Double,Moderate,33.469044972741735,84,80,5,7,Waterfront
66746,Lose Condition,East Robertland,Villa,1,26.678476728993946,"['WiFi', 'Canal view', 'Air Conditioning', 'Garden view', 'Swimming Pool', 'Parking', 'Waterfront']",Autumn,4896.458237973671,89,5,King,Moderate,40.574243053031424,60,151,4,2,Suburb
73554,Never Author,Port Victoria,Apartment,2,20.09877143702692,"['Gym', 'Parking', 'Garden view', 'WiFi']",Autumn,1932.050739298006,13,4,Single,Strict,34.14183772750892,94,74,4,5,Waterfront
53905,Describe Across,North Charlesstad,Apartment,5,14.807007813366935,"['Canal view', 'Garden view', 'Parking', 'WiFi', 'Waterfront', 'Kitchen']",Winter,1994.3801842886585,43,7,Single,Strict,32.29922932764813,80,432,2,7,Mountain View
19408,Job Now,Cookmouth,Cottage,2,17.901126974838803,"['Gym', 'Canal view', 'Waterfront']",Summer,274.1966629283147,33,4,Double,Strict,27.046582211008655,94,287,4,5,Suburb
86458,Benefit Meeting,South Barbara,Cottage,3,13.768030888780379,"['TV', 'Canal view', 'Parking', 'Waterfront', 'WiFi', 'Air Conditioning', 'Swimming Pool', 'Garden view']",Summer,4395.692022672427,82,6,Double,Moderate,45.234600915210294,94,322,1,7,Mountain View
17856,Company Everything,Juliaside,Cottage,3,15.750824995401791,"['Waterfront', 'WiFi', 'Kitchen', 'TV', 'Swimming Pool', 'Gym', 'Canal view', 'Parking']",Winter,4043.5481342712683,93,4,Double,Flexible,30.058118546839108,77,33,2,7,Mountain View
82920,The Hospital,Lake Gary,Apartment,4,11.486963978231346,"['TV', 'Waterfront', 'Gym', 'Swimming Pool', 'WiFi', 'Kitchen', 'Air Conditioning', 'Parking', 'Garden view']",Winter,288.48003474417385,84,7,Queen,Moderate,38.0347634598472,79,457,1,8,Mountain View
44369,Next Which,South Jayborough,Apartment,1,20.079175209717533,"['Waterfront', 'Air Conditioning', 'Gym', 'WiFi', 'Swimming Pool', 'Canal view', 'Kitchen']",Summer,4046.7543193539077,17,4,King,Flexible,37.095663760612254,79,77,2,3,Suburb
2062,Long Develop,East Rebecca,Cottage,4,12.368101009241476,"['Parking', 'Canal view', 'TV', 'Garden view', 'Air Conditioning', 'Gym', 'WiFi']",Autumn,4262.326975642111,46,5,Queen,Strict,31.2546591255515,71,182,3,7,Suburb
26003,Kid About,Lake Christopherport,Cottage,4,14.653863205120905,"['Waterfront', 'Gym', 'Canal view', 'Air Conditioning', 'Parking', 'Garden view', 'Kitchen', 'WiFi', 'Swimming Pool']",Autumn,3434.2121762145407,83,4,Single,Flexible,39.61698220887657,52,77,1,7,Waterfront
83471,Example Recently,Kellyville,Cottage,3,20.270692898171745,"['Air Conditioning', 'Gym', 'WiFi', 'Waterfront', 'Swimming Pool', 'Canal view']",Autumn,2083.0052177575035,83,4,Queen,Flexible,47.39848181002778,98,49,4,5,Waterfront
59773,Produce Rich,Woodborough,House,5,19.40773256316231,"['Kitchen', 'Garden view', 'Air Conditioning', 'WiFi', 'Gym', 'Parking', 'Canal view', 'TV', 'Waterfront']",Summer,2897.0837615453647,42,7,Double,Flexible,14.726451837100525,71,195,2,8,Waterfront
82846,Pay Television,Fergusontown,Cottage,5,22.759561512447192,"['Kitchen', 'Garden view', 'TV']",Autumn,2377.49961260981,37,9,Single,Moderate,41.95975494757606,58,239,3,6,Downtown
6362,Today Son,Richardton,House,3,10.775470077046275,"['TV', 'Gym', 'Air Conditioning', 'Garden view', 'Swimming Pool']",Winter,135.26440832801512,63,7,Double,Flexible,43.49010002651414,74,235,4,7,Mountain View
1108,Simply On,Aaronburgh,House,3,24.129536964131862,"['WiFi', 'Waterfront']",Summer,2777.3431507533824,58,3,Double,Strict,20.62499299482433,95,472,5,6,Waterfront
32438,Fact Notice,South Lisa,Apartment,5,17.926105023751248,"['Swimming Pool', 'Waterfront']",Winter,2350.2988940868,91,6,King,Flexible,14.317100423354962,61,140,5,9,Waterfront
77468,Interest Today,East Thomasville,Villa,4,21.344564335159646,"['TV', 'Gym', 'Waterfront', 'WiFi', 'Air Conditioning', 'Canal view', 'Garden view', 'Swimming Pool', 'Kitchen']",Summer,1852.7149956654087,57,8,Single,Strict,10.659770440449098,67,281,3,8,Suburb
19823,Air Success,Conradburgh,Cottage,3,27.32595884521767,"['Garden view', 'TV', 'Parking', 'WiFi', 'Air Conditioning', 'Canal view', 'Kitchen']",Summer,2962.6671815091922,25,6,Single,Flexible,26.759906293477425,85,352,1,7,Waterfront
13120,Energy Detail,Mossport,Apartment,1,20.746125731942954,"['Swimming Pool', 'Waterfront', 'Canal view', 'Air Conditioning', 'WiFi', 'Garden view']",Summer,4403.973625534629,12,4,Queen,Moderate,40.46054176409427,53,422,2,2,Suburb
20165,Risk Later,Knappview,Apartment,2,23.326833963819926,"['Swimming Pool', 'Waterfront']",Summer,3323.915224680804,16,3,Single,Flexible,41.57149354944525,100,36,1,6,Downtown
68729,Military Beyond,Michaelhaven,Villa,2,11.968291685072646,"['Canal view', 'Waterfront', 'WiFi', 'Gym', 'Garden view', 'Kitchen', 'Swimming Pool', 'Parking']",Winter,751.8870671847604,91,5,Queen,Strict,25.69776628617165,75,145,3,4,Downtown
90242,Accept Space,Jennifermouth,Cottage,3,27.33290609572571,"['WiFi', 'Gym', 'TV']",Summer,2229.8183017451797,42,7,King,Flexible,46.50340293020621,84,62,3,7,Downtown
10318,Cell Trade,Suzanneburgh,House,1,26.513338188573613,"['TV', 'Air Conditioning', 'Parking', 'Waterfront']",Summer,1186.134676610535,32,2,King,Flexible,44.93122670805236,89,295,5,3,Downtown
19361,Mouth Enter,Lindachester,Cottage,5,29.184539732962534,"['Waterfront', 'Kitchen']",Summer,2304.414984427022,71,8,Single,Flexible,21.718091033776837,57,255,1,6,Suburb
6956,Citizen Former,South Joe,Apartment,2,29.16982268182309,['Canal view'],Autumn,1026.3005431476236,45,6,King,Strict,20.701022027948536,75,74,2,3,Mountain View
34185,Many Say,North Michaelborough,Apartment,3,16.13942863522415,"['Swimming Pool', 'TV', 'Kitchen', 'Canal view', 'Gym', 'Garden view', 'Air Conditioning']",Autumn,1331.6476696143461,80,5,Double,Moderate,14.661360709905313,92,81,3,6,Waterfront
79743,Low Method,Huntburgh,Cottage,3,21.9103591444367,"['Air Conditioning', 'Garden view', 'Swimming Pool', 'Gym']",Summer,3797.0335771432233,19,4,King,Moderate,15.226509517215572,99,87,3,6,Mountain View
46670,Later Carry,Roberthaven,Villa,3,27.81306731438373,['TV'],Autumn,392.13264684234855,99,4,Double,Strict,11.047127976445221,62,13,3,6,Mountain View
97915,Think Security,East Maxwellshire,Apartment,4,19.734074984445463,"['TV', 'Canal view', 'Gym', 'Parking']",Summer,217.77335752155471,35,5,Single,Strict,31.051230325443132,79,376,5,8,Waterfront
97484,Sing Card,South Kimberly,Villa,4,16.487431330168576,"['Canal view', 'TV', 'Parking', 'Swimming Pool']",Autumn,2883.860670034926,56,5,Single,Moderate,44.71846492691826,58,223,1,5,Downtown
95165,Quickly Few,East Jennifer,Cottage,4,19.887756115311408,"['WiFi', 'Canal view', 'Waterfront', 'Kitchen', 'TV', 'Air Conditioning', 'Swimming Pool']",Autumn,2826.4656338896225,58,6,Single,Strict,28.096327977577005,64,308,2,7,Suburb
5249,Think Whether,East Codymouth,Villa,1,15.756914535893031,"['WiFi', 'Canal view', 'TV', 'Garden view', 'Gym', 'Swimming Pool']",Winter,1965.5620350602205,63,4,Double,Strict,38.05857603561793,55,166,2,3,Waterfront
53742,Force Life,New Margaret,Cottage,4,13.952972585927608,"['Canal view', 'Gym', 'Air Conditioning', 'Parking', 'WiFi', 'Swimming Pool', 'Kitchen', 'Waterfront']",Winter,419.08898576259503,46,6,Double,Strict,41.156393021533646,74,124,2,6,Waterfront
32194,Republican Though,Kellymouth,Villa,5,14.469894124839504,"['Swimming Pool', 'Kitchen', 'TV', 'Air Conditioning', 'Canal view', 'Garden view', 'Gym', 'WiFi', 'Parking']",Autumn,2338.942929234326,83,7,Single,Flexible,38.421250261649774,90,156,5,6,Mountain View
69376,Per Model,Jonesville,Villa,3,19.90742945043634,"['Kitchen', 'Garden view', 'Air Conditioning', 'WiFi', 'Swimming Pool', 'TV', 'Gym']",Autumn,190.5369878102977,47,6,Single,Strict,49.37315949148487,62,383,4,6,Waterfront
13333,Seven Mr,North Bobbyland,Villa,3,21.308332639319815,"['Parking', 'Swimming Pool', 'Gym', 'Air Conditioning', 'TV', 'Canal view']",Winter,2590.0416507834266,58,7,Double,Moderate,49.70215769706728,76,17,5,7,Suburb
66764,Mrs Painting,New Danielstad,House,3,16.674288641358935,['Air Conditioning'],Autumn,305.0549064523523,96,3,Double,Strict,10.616891686967861,70,233,2,4,Mountain View
90849,Adult Yourself,Greenchester,House,1,25.14918179025685,"['WiFi', 'Gym', 'Air Conditioning', 'Kitchen', 'Swimming Pool']",Autumn,838.4566075273443,10,4,Single,Flexible,34.60893339793245,69,479,1,4,Mountain View
5529,Early Business,North Markfort,Villa,1,10.380847173415361,"['Swimming Pool', 'WiFi', 'Canal view', 'Waterfront', 'Air Conditioning', 'Parking', 'TV', 'Gym', 'Garden view', 'Kitchen']",Summer,195.79261546457698,35,1,Double,Moderate,49.2886128493248,68,428,3,3,Waterfront
5339,If Food,Graveston,Villa,4,14.634502419705651,"['Gym', 'Air Conditioning', 'Waterfront']",Winter,2016.2030660967423,100,5,Single,Strict,44.555606514014116,73,167,2,6,Waterfront
18759,Officer Eye,West Mark,Cottage,3,18.344096471563873,"['Gym', 'Kitchen', 'Air Conditioning', 'WiFi', 'Canal view', 'Parking', 'Garden view', 'Swimming Pool', 'TV']",Autumn,4977.558343039085,36,7,King,Moderate,15.523522081499,76,458,4,4,Waterfront
41043,Practice Leader,West Jonathanfurt,Apartment,4,14.585236003682008,"['Waterfront', 'Swimming Pool', 'Gym', 'Parking']",Summer,2349.105939847195,45,8,Queen,Strict,26.486640489518773,94,449,3,8,Suburb
46973,Decide Parent,New Alison,Apartment,1,26.491862282607002,"['Swimming Pool', 'Air Conditioning']",Summer,3499.461059131375,54,5,Double,Strict,35.47779414758324,57,12,5,4,Mountain View
16390,All Church,North Dawnmouth,House,1,14.66311055969361,"['Waterfront', 'Garden view', 'Parking', 'Air Conditioning', 'TV']",Winter,2978.2748169065876,44,3,King,Strict,40.76326193292264,100,406,1,3,Waterfront
87220,Sell Program,East Aaron,Villa,4,14.75036811897107,"['Gym', 'Garden view', 'Kitchen', 'WiFi']",Summer,3708.9928568930322,19,4,Single,Flexible,48.84538478652152,87,94,5,5,Mountain View
9239,Reason Next,Billyville,Villa,1,21.55040509159448,"['Parking', 'TV', 'Kitchen', 'Waterfront', 'Canal view', 'Gym']",Winter,3122.9535687853377,95,1,Queen,Flexible,43.092268452195746,93,355,3,2,Mountain View
3262,Who Billion,Jenningsfurt,Apartment,3,24.07694009918718,"['Waterfront', 'Kitchen', 'Swimming Pool', 'Gym', 'Air Conditioning', 'TV', 'Garden view']",Summer,3736.1109060970225,100,4,Double,Strict,16.0395311675562,94,208,3,7,Mountain View
90269,Stage Stock,South Jonathan,Apartment,1,12.01403829751591,"['Waterfront', 'Air Conditioning', 'Swimming Pool', 'Kitchen', 'Garden view', 'WiFi']",Summer,4303.893099643458,79,1,Queen,Flexible,14.822686389917026,75,74,4,3,Suburb
67164,Close On,East Samuel,House,1,18.387262441127454,"['Waterfront', 'Air Conditioning', 'Gym', 'Kitchen', 'Parking', 'Swimming Pool', 'WiFi']",Winter,1106.8488641789909,59,3,King,Moderate,40.396469156403754,95,172,2,4,Mountain View
93491,Truth Focus,New Kimberly,Cottage,3,17.29070882213807,"['Parking', 'Air Conditioning', 'Canal view', 'TV', 'WiFi', 'Swimming Pool', 'Kitchen', 'Garden view']",Summer,1447.3449408042118,32,3,Queen,Moderate,46.3599069942778,82,29,2,6,Suburb
40534,Free Court,Sheatown,Cottage,2,10.033747425447297,"['Waterfront', 'Parking', 'Swimming Pool', 'TV', 'Canal view', 'Kitchen', 'Garden view', 'Air Conditioning', 'Gym', 'WiFi']",Winter,2198.9598056189247,69,2,Single,Moderate,23.311690722912864,71,135,1,4,Mountain View
15695,Enjoy Color,Woodwardland,Villa,1,19.90513539844479,"['Gym', 'Waterfront']",Summer,4803.112727716014,25,2,Single,Flexible,41.74189855010731,99,497,3,2,Mountain View
40936,Source Unit,Colleenfort,House,2,21.68360203898984,"['Parking', 'TV', 'Air Conditioning', 'Canal view', 'Waterfront', 'Kitchen', 'Garden view', 'Swimming Pool', 'WiFi']",Winter,1567.3680722742831,39,4,Queen,Moderate,29.27318959445995,66,420,1,5,Downtown
90033,Wall Government,Walkerfurt,Villa,1,15.400547852445436,"['Gym', 'Kitchen', 'WiFi', 'Waterfront', 'Air Conditioning', 'Canal view']",Autumn,1717.8456272099756,98,3,King,Flexible,30.998505919375194,79,201,3,5,Downtown
68478,Talk Start,New Derekhaven,House,4,29.876228660899212,"['Canal view', 'Kitchen']",Summer,3776.6140248171864,48,8,Single,Moderate,10.186916516621976,73,500,1,8,Waterfront
6003,Husband Drive,South Madisonchester,Apartment,2,13.71186110098523,"['Kitchen', 'Air Conditioning', 'Canal view', 'Swimming Pool', 'Waterfront', 'Parking', 'Garden view', 'Gym', 'TV', 'WiFi']",Autumn,3401.7992407269226,54,4,King,Flexible,42.29444848016167,68,147,1,4,Waterfront
96415,Ago Continue,New Barbara,Apartment,2,24.58098043177762,"['WiFi', 'Air Conditioning', 'Kitchen', 'Swimming Pool', 'Gym']",Autumn,1973.287190667996,68,2,Queen,Flexible,40.307579745412006,65,385,5,4,Waterfront
89856,Pressure Glass,East Bobbymouth,House,3,16.69172791711181,"['Air Conditioning', 'Kitchen', 'Gym', 'Parking', 'Canal view', 'Swimming Pool', 'Garden view']",Autumn,625.7348460198284,53,5,King,Moderate,26.140434312536392,81,441,2,5,Mountain View
89443,Stock Require,Andersonfurt,House,2,24.045676152463464,"['Parking', 'TV', 'Air Conditioning', 'Garden view', 'Swimming Pool', 'Canal view', 'Kitchen', 'WiFi']",Winter,4895.053195041197,32,3,King,Strict,48.35487565229186,97,272,3,4,Mountain View
96504,Very Spring,Malonefort,Apartment,2,22.219927878279236,"['WiFi', 'Waterfront', 'Canal view', 'Parking', 'Gym', 'Garden view']",Summer,3668.30567455779,24,4,Double,Moderate,30.697749183300203,71,369,4,5,Suburb
85702,Nice Pay,New John,House,3,26.852558041438368,"['Gym', 'Garden view', 'Kitchen', 'Swimming Pool', 'WiFi', 'TV', 'Air Conditioning', 'Waterfront']",Autumn,4660.70818982067,92,5,Queen,Moderate,22.385432682975672,74,216,1,7,Downtown
